Date,reported_scores,cubic_bspline_fit,residuals
2022-01-07,80630,58952.21502227172,21677.784977728283
2022-01-08,101503,79837.51714043062,21665.482859569383
2022-01-09,91477,99670.05265465418,-8193.05265465418
2022-01-10,107134,118472.23180180525,-11338.231801805247
2022-01-11,153880,136266.46481874707,17613.535181252926
2022-01-12,137586,153075.1619423426,-15489.161942342587
2022-01-13,132726,168920.7334094548,-36194.73340945481
2022-01-14,169484,183825.58945694694,-14341.589456946938
2022-01-15,205880,197812.1403216818,8067.8596783182
2022-01-16,209609,210902.79624052253,-1293.7962405225262
2022-01-17,222197,223119.96745033207,-922.9674503320712
2022-01-18,220950,234486.06418797374,-13536.064187973738
2022-01-19,280622,245023.49669031025,35598.50330968975
2022-01-20,243964,254754.67519420473,-10790.675194204727
2022-01-21,273727,263702.0099365202,10024.99006347981
2022-01-22,241489,271887.9111541198,-30398.91115411982
2022-01-23,269929,279334.7890838666,-9405.789083866577
2022-01-24,258038,286065.05396262335,-28027.05396262335
2022-01-25,276404,292101.1160272534,-15697.116027253389
2022-01-26,302348,297465.3855146197,4882.614485380298
2022-01-27,331844,302180.27266158524,29663.727338414756
2022-01-28,296968,306268.18770501297,-9300.18770501297
2022-01-29,313220,309751.5408817661,3468.4591182338772
2022-01-30,294687,312652.7424287075,-17965.742428707483
2022-01-31,341314,314994.20258270035,26319.797417299647
2022-02-01,351663,316798.33158060757,34864.66841939243
2022-02-02,361908,318087.5396592924,43820.46034070762
2022-02-03,358176,318884.23705561756,39291.76294438244
2022-02-04,359679,319210.8340064463,40468.1659935537
2022-02-05,319698,319089.7407486416,608.259251358395
2022-02-06,311018,318543.3675190666,-7525.367519066611
2022-02-07,288228,317594.1245545842,-29366.12455458421
2022-02-08,336236,316264.4220920574,19971.577907942585
2022-02-09,305372,314576.6703683494,-9204.670368349412
2022-02-10,304830,312553.2796203232,-7723.279620323214
2022-02-11,278826,310216.6600848416,-31390.6600848416
2022-02-12,269885,307589.22199876804,-37704.221998768044
2022-02-13,277471,304693.3755989651,-27222.375598965096
2022-02-14,261521,301551.5311222962,-40030.531122296175
2022-02-15,287836,298186.0988056242,-10350.098805624177
2022-02-16,289721,294619.48888581217,-4898.48888581217
2022-02-17,342003,290874.11159972317,51128.88840027683
2022-02-18,265238,286972.37718422007,-21734.377184220066
2022-02-19,282327,282936.6958761662,-609.6958761662245
2022-02-20,273306,278789.4779124243,-5483.477912424307
2022-02-21,278731,274553.1335298577,4177.866470142326
2022-02-22,306356,270250.0729653291,36105.927034670894
2022-02-23,277576,265902.70645570185,11673.293544298154
2022-02-24,250674,261533.4442378388,-10859.44423783879
2022-02-25,255907,257164.69654860295,-1257.6965486029512
2022-02-26,248363,252818.87362485757,-4455.873624857573
2022-02-27,250413,248518.38570346544,1894.6142965345643
2022-02-28,251094,244283.21218515746,6810.787814842537
2022-03-01,240137,240118.33106064342,18.66893935657572
2022-03-02,257304,236023.00335417432,21280.996645825682
2022-03-03,240018,231996.4788361296,8021.521163870406
2022-03-04,203730,228038.007276889,-24308.007276888995
2022-03-05,229895,224146.8384468321,5748.161553167913
2022-03-06,218595,220322.22211633867,-1727.2221163386712
2022-03-07,218595,216563.4080557883,2031.5919442116865
2022-03-08,207473,212869.6460355608,-5396.646035560814
2022-03-09,201799,209240.18582603562,-7441.185826035624
2022-03-10,208884,205674.27719759254,3209.7228024074575
2022-03-11,226349,202171.1699206113,24177.83007938869
2022-03-12,192049,198730.11376547132,-6681.113765471324
2022-03-13,179436,195350.3585025525,-15914.358502552495
2022-03-14,185406,192031.15390223445,-6625.153902234451
2022-03-15,202855,188771.74973489688,14083.250265103125
2022-03-16,217856,185571.39577091922,32284.60422908078
2022-03-17,169071,182429.3417806814,-13358.341780681396
2022-03-18,179830,179344.83753456298,485.16246543702437
2022-03-19,156311,176317.13280294358,-20006.132802943583
2022-03-20,154987,173345.4773562029,-18358.4773562029
2022-03-21,173636,170429.1209647206,3206.8790352793876
2022-03-22,160161,167567.31339887652,-7406.3133988765185
2022-03-23,156785,164759.30442904995,-7974.304429049953
2022-03-24,169066,162004.34382562095,7061.656174379052
2022-03-25,150197,159301.6813589689,-9104.681358968897
2022-03-26,149507,156650.56679947354,-7143.566799473541
2022-03-27,165468,154050.24991751462,11417.750082485378
2022-03-28,173696,151499.9804834717,22196.019516528293
2022-03-29,149070,148999.0082677246,70.9917322754045
2022-03-30,158139,146546.5830406528,11592.416959347203
2022-03-31,135219,144141.954572636,-8922.954572635994
2022-04-01,144648,141784.37263405393,2863.627365946071
2022-04-02,155079,139473.08699528628,15605.913004713715
2022-04-03,124532,137207.34742671257,-12675.347426712571
2022-04-04,129651,134986.4036987126,-5335.403698712587
2022-04-05,121356,132809.50558166602,-11453.505581666017
2022-04-06,117856,130675.90284595241,-12819.902845952412
2022-04-07,117761,128584.84526195152,-10823.845261951516
2022-04-08,141158,126535.58260004297,14622.417399957034
2022-04-09,134210,124527.36463060648,9682.635369393523
2022-04-10,126241,122559.44112402153,3681.558875978473
2022-04-11,109828,120631.06185066806,-10803.061850668062
2022-04-12,114907,118741.47658092562,-3834.4765809256205
2022-04-13,123255,116889.9350851738,6365.064914826202
2022-04-14,113448,115075.68713379231,-1627.6871337923076
2022-04-15,129991,113297.98249716083,16693.017502839168
2022-04-16,107987,111556.07094565903,-3569.0709456590266
2022-04-17,106681,109849.20224966654,-3168.202249666545
2022-04-18,112383,108176.62617956307,4206.373820436929
2022-04-19,108899,106537.59250572823,2361.4074942717707
2022-04-20,102007,104931.3688417297,-2924.3688417296944
2022-04-21,97955,103357.39809261427,-5402.3980926142685
2022-04-22,119232,101815.22265704487,17416.77734295513
2022-04-23,95562,100304.38607564867,-4742.386075648668
2022-04-24,97452,98824.43188905266,-1372.4318890526629
2022-04-25,91548,97374.90363788394,-5826.903637883937
2022-04-26,103153,95955.34486276963,7197.655137230366
2022-04-27,98967,94565.29910433678,4401.70089566322
2022-04-28,88974,93204.30990321246,-4230.309903212459
2022-04-29,106652,91871.92080002376,14780.079199976244
2022-04-30,77991,90567.67533539778,-12576.675335397784
2022-05-01,77658,89291.11704996157,-11633.11704996157
