Date,Contest number,Word,Number of  reported results,Number in hard mode,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X),year,month,day,day_of_week,day_name,week_of_year,day_of_year,quarter,is_weekend,is_first_day,is_last_day,season,school_period,is_school_day,days_since_start,is_holiday,holiday_name,is_major_holiday,days_from_holiday,trend,residuals,residuals_pct,yesterday_raw,yesterday_residual,change_from_yesterday,residual_change,residual_lag_2,past_2day_avg_residual,residual_lag_3,past_3day_avg_residual,residual_lag_7,past_7day_avg_residual,month_name
2022-01-07,202,slump,80630,1362,1,3,23,39,24,9,1,2022,1,7,4,Friday,1,7,1,False,False,False,Winter,Spring Semester,True,0,False,,False,,174095,-93465,-53.68620580717425,,,,,,,,,,,January
2022-01-08,203,crank,101503,1763,1,5,23,31,24,14,2,2022,1,8,5,Saturday,1,8,1,True,False,False,Winter,Spring Semester,False,1,False,,False,,174934,-73431,-41.97640252895378,80630.0,-93465.0,20873.0,20034.0,,-93465.0,,-93465.0,,-93465.0,January
2022-01-09,204,gorge,91477,1913,1,3,13,27,30,22,4,2022,1,9,6,Sunday,1,9,1,True,False,False,Winter,Spring Semester,False,2,False,,False,,176596,-85119,-48.1998459761263,101503.0,-73431.0,-10026.0,-11688.0,-93465.0,-83448.0,,-83448.0,,-83448.0,January
2022-01-10,205,query,107134,2242,1,4,16,30,30,17,2,2022,1,10,0,Monday,2,10,1,False,False,False,Winter,Spring Semester,True,3,False,,False,,179055,-71921,-40.1669877970456,91477.0,-85119.0,15657.0,13198.0,-73431.0,-79275.0,-93465.0,-84005.0,,-84005.0,January
2022-01-11,206,drink,153880,3017,1,9,35,34,16,5,1,2022,1,11,1,Tuesday,2,11,1,False,False,False,Winter,Spring Semester,True,4,False,,False,,182269,-28389,-15.57533096686765,107134.0,-71921.0,46746.0,43532.0,-85119.0,-78520.0,-73431.0,-76823.66666666667,,-80984.0,January
2022-01-12,207,favor,137586,3073,1,4,15,26,29,21,4,2022,1,12,2,Wednesday,2,12,1,False,False,False,Winter,Spring Semester,True,5,False,,False,,186183,-48597,-26.10173861201076,153880.0,-28389.0,-16294.0,-20208.0,-71921.0,-50155.0,-85119.0,-61809.666666666664,,-70465.0,January
2022-01-13,208,abbey,132726,3345,1,2,13,29,31,20,3,2022,1,13,3,Thursday,2,13,1,False,False,False,Winter,Spring Semester,True,6,False,,False,,190736,-58010,-30.413765623689287,137586.0,-48597.0,-4860.0,-9413.0,-28389.0,-38493.0,-71921.0,-49635.666666666664,,-66820.33333333333,January
2022-01-14,209,tangy,169484,3985,1,4,21,30,24,15,5,2022,1,14,4,Friday,2,14,1,False,False,False,Winter,Spring Semester,True,7,False,,False,,195853,-26369,-13.463669180456773,132726.0,-58010.0,36758.0,31641.0,-48597.0,-53303.5,-28389.0,-44998.666666666664,-93465.0,-65561.71428571429,January
2022-01-15,210,panic,205880,4655,1,9,35,34,16,5,1,2022,1,15,5,Saturday,2,15,1,True,False,False,Winter,Spring Semester,False,8,False,,False,-2.0,201456,4424,2.196013025176714,169484.0,-26369.0,36396.0,30793.0,-58010.0,-42189.5,-48597.0,-44325.333333333336,-73431.0,-55976.57142857143,January
2022-01-16,211,solar,209609,4955,1,9,32,32,18,7,1,2022,1,16,6,Sunday,2,16,1,True,False,False,Winter,Spring Semester,False,9,False,,False,-1.0,207459,2150,1.0363493509560926,205880.0,4424.0,3729.0,-2274.0,-26369.0,-10972.5,-58010.0,-26651.666666666668,-85119.0,-44854.42857142857,January
2022-01-17,212,shire,222197,5640,1,8,32,32,18,8,2,2022,1,17,0,Monday,3,17,1,False,False,False,Winter,Spring Semester,True,10,True,Martin Luther King Jr. Day,False,0.0,213775,8422,3.9396561805636767,209609.0,2150.0,12588.0,6272.0,4424.0,3287.0,-26369.0,-6598.333333333333,-71921.0,-32387.428571428572,January
