Word,hard_mode_pct,n_unique_letters,n_repeated_letters,n_vowels,letter_rarity,word_rarity,n_anagrams
STUDY,93.61619307123394,5,0,1,0.9558774373259054,0.9361559888579387,0
PINEY,13.333575739946186,5,0,2,0.9444011142061282,0.9273537604456824,0
PARER,11.06971508215176,4,1,2,0.924791086350975,0.9153203342618385,0
MUMMY,10.317975340687866,3,1,1,0.9676880222841225,0.9537604456824513,0
CATCH,10.272012630332533,4,1,1,0.9439554317548746,0.9346518105849582,0
JUDGE,10.209384838338915,5,0,2,0.9602228412256266,0.9466852367688021,0
WALTZ,10.116731517509727,5,0,1,0.9514206128133706,0.9489693593314765,0
IONIC,10.109430208226133,4,1,3,0.944623955431755,0.9411142061281338,0
LIBEL,10.081093973604707,4,1,2,0.9397214484679666,0.9389415041782729,0
EXTRA,10.042432814710041,5,0,2,0.9315877437325906,0.9474094707520891,0
