Word,hard_mode_pct,n_unique_letters,n_repeated_letters,n_vowels,letter_rarity,word_rarity,n_anagrams
ROBIN,1.1709331786024486,5,0,2,0.9456267409470753,0.9418941504178273,0
SLUMP,1.689197569142999,5,0,1,0.9574373259052926,0.938607242339833,0
CRANK,1.7368944760253393,5,0,1,0.9456267409470753,0.9296378830083567,0
DRINK,1.9606186638939433,5,0,1,0.9539832869080781,0.9393871866295265,0
GORGE,2.09123604840561,4,1,2,0.9383844011142062,0.9198885793871866,0
QUERY,2.092706330389979,5,0,2,0.95008356545961,0.9393871866295265,0
FAVOR,2.233512130594683,5,0,2,0.9460724233983286,0.9368245125348189,0
PANIC,2.2610258402953174,5,0,2,0.9459610027855154,0.9389972144846797,0
TANGY,2.351254395695169,5,0,1,0.9455153203342619,0.9265181058495823,0
SOLAR,2.3639252131349324,5,0,2,0.9303621169916434,0.9158774373259053,0
