Word,Number of  reported results,Number in hard mode,hard_mode_pct,n_unique_letters,n_repeated_letters,has_repeats,max_repeats,n_vowels,n_consonants,vowel_ratio,vc_pattern,unique_vc_pattern,letter_rarity,positional_rarity,word_rarity,n_anagrams,has_anagrams
MANLY,20380,1899,9.317958783120707,5,0,0,1,1,4,0.2,CVCCC,CVC,0.9470752089136492,0.9086350974930362,0.9278551532033427,0,0
MOLAR,21204,1973,9.304848141860028,5,0,0,1,2,3,0.4,CVCVC,CVCVC,0.9339275766016712,0.9186629526462395,0.9262952646239554,0,0
HAVOC,20001,1919,9.594520273986301,5,0,0,1,2,3,0.4,CVCVC,CVCVC,0.9488579387186629,0.9504178272980501,0.9496378830083565,0,0
IMPEL,20160,1937,9.608134920634921,5,0,0,1,2,3,0.4,VCCVC,VCVC,0.9423955431754875,0.9459610027855152,0.9441782729805013,0,0
CONDO,20879,2012,9.636476842760668,4,1,1,2,2,3,0.4,CVCCV,CVCV,0.9465181058495823,0.9298050139275766,0.9381615598885795,0,0
JUDGE,20011,2043,10.209384838338915,5,0,0,1,2,3,0.4,CVCCV,CVCV,0.9602228412256266,0.9331476323119776,0.9466852367688021,0,0
EXTRA,15554,1562,10.042432814710041,5,0,0,1,2,3,0.4,VCCCV,VCV,0.9315877437325906,0.9632311977715877,0.9474094707520891,0,0
POISE,20281,1911,9.422612297224003,5,0,0,1,3,2,0.6,CVVCV,CVCV,0.9364902506963789,0.8818941504178273,0.9091922005571031,0,0
AORTA,21937,2112,9.627569859142088,4,1,1,2,3,2,0.6,VVCCV,VCV,0.92033426183844,0.924791086350975,0.9225626740947075,0,0
EXCEL,20490,2034,9.92679355783309,4,1,1,2,2,3,0.4,VCCVC,VCVC,0.9377158774373259,0.9493036211699165,0.9435097493036212,0,0
LUNAR,22180,2036,9.179440937781786,5,0,0,1,2,3,0.4,CVCVC,CVCVC,0.9379387186629525,0.9337047353760445,0.9358217270194985,0,0
THIRD,24137,2261,9.367361312507768,5,0,0,1,1,4,0.2,CCVCC,CVC,0.9454038997214486,0.9130919220055709,0.9292479108635097,0,0
SLATE,26010,2422,9.311803152633601,5,0,0,1,2,3,0.4,CCVCV,CVCV,0.9251253481894152,0.8685236768802227,0.8968245125348189,1,1
TAPER,22166,2108,9.510060452945954,5,0,0,1,2,3,0.4,CVCVC,CVCVC,0.9252367688022284,0.9052924791086351,0.9152646239554317,0,0
CHORD,22336,2088,9.348137535816619,5,0,0,1,1,4,0.2,CCVCC,CVC,0.9484122562674095,0.9080779944289693,0.9282451253481894,0,0
PROBE,22853,2160,9.451713123003543,5,0,0,1,2,3,0.4,CCVCV,CVCV,0.9391643454038997,0.8969359331476323,0.9180501392757661,0,0
RIVAL,22176,2127,9.591450216450216,5,0,0,1,2,3,0.4,CVCVC,CVCVC,0.940724233983287,0.9448467966573816,0.9427855153203343,0,0
USUAL,20824,2048,9.834805993084903,4,1,1,2,3,2,0.6,VCVVC,VCVC,0.945849582172702,0.9470752089136489,0.9464623955431755,0,0
SPOKE,24101,2224,9.227832870005393,5,0,0,1,2,3,0.4,CCVCV,CVCV,0.9439554317548746,0.8908077994428968,0.9173816155988856,0,0
APPLY,22873,2150,9.399728938049229,4,1,1,2,1,4,0.2,VCCCC,VC,0.9487465181058496,0.9298050139275766,0.9392757660167131,0,0
NAIVE,21947,2075,9.45459516106985,5,0,0,1,3,2,0.6,CVVCV,CVCV,0.9378272980501393,0.8991643454038997,0.9184958217270195,0,0
KNOCK,21157,2041,9.646925367490665,4,1,1,2,1,4,0.2,CCVCC,CVC,0.9595543175487465,0.9409470752089136,0.9502506963788301,0,0
BRAID,23640,2165,9.158206429780034,5,0,0,1,2,3,0.4,CCVVC,CVC,0.9465181058495823,0.92033426183844,0.9334261838440112,0,0
INFER,21199,1863,8.788150384452097,5,0,0,1,2,3,0.4,VCCVC,VCVC,0.9397214484679666,0.9392757660167131,0.9394986072423399,0,0
JOUST,24899,2388,9.590746616329973,5,0,0,1,2,3,0.4,CVVCC,CVC,0.9534261838440111,0.9175487465181058,0.9354874651810585,0,0
AMBER,23509,2261,9.61759326215492,5,0,0,1,2,3,0.4,VCCVC,VCVC,0.9372701949860724,0.9331476323119776,0.935208913649025,0,0
WOKEN,23153,2200,9.502008379043753,5,0,0,1,2,3,0.4,CVCVC,CVCVC,0.9476323119777159,0.9303621169916434,0.9389972144846797,0,0
ADORE,25577,2398,9.375610900418344,5,0,0,1,3,2,0.6,VCVCV,VCVCV,0.9260167130919219,0.8986072423398328,0.9123119777158774,0,0
TORSO,23873,2260,9.466761613538306,4,1,1,2,2,3,0.4,CVCCV,CVCV,0.9312534818941505,0.9259052924791085,0.9285793871866295,0,0
CHAFE,24646,2343,9.506613649273715,5,0,0,1,2,3,0.4,CCVCV,CVCV,0.942284122562674,0.8963788300835656,0.9193314763231197,0,0
EJECT,22628,2200,9.72246773908432,4,1,1,2,2,3,0.4,VCVCC,VCVC,0.9360445682451253,0.9403899721448468,0.938217270194986,0,0
STUDY,2569,2405,93.61619307123394,5,0,0,1,1,4,0.2,CCVCC,CVC,0.9558774373259054,0.9164345403899722,0.9361559888579387,0,0
UNDUE,23739,2316,9.75609756097561,4,1,1,2,3,2,0.6,VCCVV,VCV,0.9494150417827297,0.9331476323119776,0.9412813370473536,0,0
TEPID,26051,2484,9.535142604890408,5,0,0,1,2,3,0.4,CVCVC,CVCVC,0.9405013927576602,0.9359331476323121,0.9382172701949861,0,0
